iter	Passed	Remaining
0	155	155365
1	169	84367
2	180	60073
3	188	46960
4	199	39620
5	207	34376
6	215	30571
7	224	27882
8	232	25609
9	241	23951
10	250	22483
11	258	21277
12	266	20198
13	275	19380
14	283	18607
15	291	17957
16	299	17332
17	309	16885
18	316	16359
19	325	15970
20	334	15573
21	343	15263
22	351	14924
23	360	14649
24	367	14339
25	376	14107
26	384	13869
27	392	13634
28	401	13443
29	410	13268
30	419	13100
31	426	12897
32	434	12744
33	443	12606
34	452	12468
35	459	12303
36	467	12164
37	486	12323
38	493	12161
39	503	12091
40	514	12044
41	524	11959
42	534	11887
43	542	11781
44	553	11735
45	560	11617
46	568	11518
47	574	11401
48	582	11299
49	588	11187
50	596	11096
51	604	11021
52	612	10946
53	619	10859
54	627	10786
55	635	10704
56	643	10638
57	651	10577
58	659	10513
59	666	10436
60	674	10390
61	682	10332
62	691	10279
63	698	10216
64	706	10159
65	715	10122
66	723	10068
67	732	10042
68	741	10003
69	748	9947
70	755	9886
71	763	9836
72	770	9781
73	777	9735
74	784	9681
75	793	9644
76	800	9599
77	809	9568
78	816	9517
79	824	9482
80	831	9428
81	837	9379
82	843	9322
83	849	9267
84	857	9225
85	863	9175
86	869	9129
87	876	9082
88	883	9040
89	890	9007
90	898	8970
91	905	8934
92	911	8890
93	918	8855
94	925	8816
95	932	8781
96	939	8746
97	946	8710
98	953	8675
99	959	8637
100	966	8600
101	972	8566
102	979	8532
103	986	8501
104	993	8471
105	1001	8449
106	1010	8429
107	1019	8420
108	1026	8389
109	1034	8368
110	1043	8353
111	1051	8337
112	1060	8323
113	1070	8318
114	1079	8304
115	1087	8285
116	1096	8274
117	1105	8259
118	1114	8247
119	1121	8224
120	1129	8207
121	1137	8186
122	1146	8171
123	1153	8146
124	1160	8124
125	1167	8099
126	1174	8073
127	1182	8053
128	1189	8028
129	1196	8004
130	1202	7976
131	1209	7953
132	1217	7938
133	1224	7913
134	1232	7894
135	1238	7866
136	1247	7856
137	1254	7838
138	1263	7824
139	1269	7797
140	1276	7774
141	1283	7753
142	1290	7731
143	1297	7715
144	1306	7702
145	1314	7686
146	1322	7671
147	1330	7656
148	1337	7638
149	1345	7623
150	1352	7602
151	1360	7588
152	1367	7571
153	1375	7553
154	1382	7536
155	1390	7521
156	1400	7522
157	1410	7516
158	1418	7502
159	1427	7496
160	1434	7476
161	1442	7460
162	1448	7438
163	1455	7418
164	1462	7399
165	1469	7380
166	1479	7377
167	1487	7365
168	1496	7356
169	1503	7341
170	1511	7327
171	1520	7318
172	1531	7321
173	1540	7312
174	1548	7300
175	1557	7293
176	1566	7282
177	1576	7278
178	1584	7266
179	1593	7258
180	1601	7246
181	1611	7241
182	1620	7233
183	1628	7223
184	1637	7212
185	1645	7199
186	1655	7195
187	1663	7185
188	1673	7182
189	1683	7177
190	1691	7165
191	1698	7148
192	1706	7135
193	1713	7120
194	1722	7109
195	1728	7092
196	1736	7077
197	1742	7058
198	1748	7039
199	1755	7021
200	1762	7004
201	1769	6989
202	1775	6972
203	1783	6960
204	1790	6941
205	1798	6930
206	1804	6913
207	1811	6898
208	1818	6882
209	1825	6867
210	1832	6853
211	1839	6838
212	1847	6827
213	1854	6811
214	1861	6796
215	1868	6783
216	1875	6767
217	1883	6754
218	1889	6738
219	1897	6725
220	1903	6709
221	1910	6694
222	1917	6682
223	1924	6667
224	1932	6654
225	1938	6637
226	1944	6620
227	1950	6605
228	1957	6589
229	1963	6574
230	1970	6558
231	1976	6541
232	1983	6528
233	1989	6513
234	1996	6498
235	2002	6482
236	2008	6465
237	2014	6450
238	2021	6436
239	2028	6422
240	2034	6406
241	2040	6391
242	2047	6378
243	2054	6365
244	2061	6352
245	2068	6339
246	2074	6323
247	2081	6310
248	2087	6294
249	2093	6280
250	2099	6265
251	2105	6249
252	2112	6237
253	2118	6221
254	2124	6207
255	2131	6193
256	2136	6178
257	2143	6165
258	2149	6149
259	2155	6135
260	2162	6121
261	2167	6106
262	2175	6096
263	2182	6084
264	2188	6069
265	2195	6058
266	2201	6044
267	2207	6030
268	2214	6018
269	2220	6004
270	2227	5992
271	2233	5978
272	2240	5966
273	2246	5952
274	2252	5938
275	2259	5926
276	2265	5912
277	2271	5899
278	2277	5886
279	2283	5872
280	2290	5861
281	2296	5847
282	2302	5834
283	2309	5821
284	2315	5808
285	2322	5798
286	2328	5785
287	2335	5774
288	2342	5763
289	2349	5752
290	2356	5742
291	2363	5731
292	2370	5720
293	2377	5708
294	2383	5696
295	2390	5686
296	2397	5674
297	2404	5663
298	2410	5651
299	2417	5640
300	2424	5630
301	2431	5619
302	2438	5609
303	2445	5598
304	2452	5587
305	2459	5577
306	2466	5567
307	2473	5558
308	2480	5547
309	2487	5537
310	2494	5526
311	2501	5516
312	2509	5507
313	2516	5497
314	2523	5487
315	2530	5476
316	2538	5468
317	2546	5460
318	2554	5453
319	2561	5443
320	2569	5436
321	2577	5426
322	2585	5420
323	2593	5411
324	2601	5403
325	2609	5395
326	2619	5390
327	2626	5382
328	2635	5375
329	2645	5370
330	2654	5364
331	2662	5357
332	2670	5349
333	2680	5344
334	2690	5340
335	2702	5339
336	2712	5335
337	2723	5333
338	2733	5330
339	2743	5326
340	2753	5322
341	2765	5320
342	2776	5317
343	2787	5315
344	2798	5312
345	2808	5307
346	2819	5305
347	2829	5301
348	2839	5296
349	2850	5292
350	2859	5286
351	2868	5280
352	2879	5277
353	2888	5271
354	2900	5269
355	2911	5267
356	2921	5262
357	2932	5258
358	2943	5255
359	2953	5250
360	2964	5248
361	2975	5243
362	2984	5236
363	2994	5231
364	3003	5225
365	3014	5222
366	3025	5218
367	3035	5212
368	3046	5208
369	3057	5205
370	3067	5200
371	3078	5196
372	3088	5192
373	3098	5186
374	3108	5180
375	3117	5173
376	3128	5169
377	3137	5163
378	3147	5157
379	3158	5154
380	3169	5149
381	3179	5144
382	3192	5142
383	3203	5138
384	3211	5130
385	3221	5124
386	3230	5116
387	3240	5110
388	3250	5105
389	3260	5099
390	3272	5097
391	3283	5092
392	3293	5087
393	3305	5084
394	3315	5078
395	3325	5071
396	3335	5066
397	3345	5060
398	3356	5055
399	3367	5051
400	3377	5044
401	3388	5040
402	3399	5035
403	3408	5028
404	3420	5025
405	3430	5019
406	3441	5014
407	3467	5031
408	3477	5024
409	3488	5019
410	3498	5013
411	3508	5006
412	3518	5000
413	3528	4993
414	3536	4984
415	3545	4977
416	3553	4967
417	3562	4960
418	3571	4951
419	3580	4943
420	3588	4935
421	3597	4927
422	3608	4922
423	3616	4913
424	3627	4907
425	3635	4898
426	3644	4890
427	3652	4880
428	3661	4873
429	3669	4864
430	3679	4857
431	3688	4849
432	3697	4842
433	3706	4833
434	3714	4824
435	3723	4816
436	3730	4806
437	3739	4798
438	3747	4788
439	3756	4780
440	3764	4771
441	3773	4763
442	3782	4756
443	3791	4748
444	3800	4739
445	3808	4731
446	3818	4724
447	3827	4715
448	3836	4707
449	3844	4699
450	3853	4690
451	3861	4682
452	3870	4673
453	3879	4665
454	3887	4656
455	3896	4648
456	3905	4640
457	3913	4630
458	3922	4623
459	3930	4614
460	3939	4606
461	3948	4597
462	3958	4590
463	3966	4581
464	3975	4573
465	3983	4564
466	3991	4555
467	4001	4548
468	4010	4541
469	4021	4534
470	4030	4526
471	4039	4518
472	4047	4509
473	4055	4500
474	4064	4492
475	4072	4482
476	4079	4473
477	4087	4464
478	4095	4454
479	4103	4445
480	4111	4436
481	4119	4427
482	4127	4417
483	4136	4410
484	4144	4400
485	4153	4393
486	4161	4383
487	4169	4374
488	4177	4365
489	4185	4356
490	4193	4347
491	4201	4338
492	4210	4329
493	4219	4322
494	4228	4313
495	4235	4303
496	4243	4294
497	4251	4285
498	4259	4276
499	4266	4266
500	4274	4257
501	4282	4248
502	4289	4238
503	4299	4231
504	4309	4223
505	4317	4215
506	4327	4207
507	4334	4198
508	4342	4189
509	4351	4180
510	4359	4172
511	4368	4163
512	4376	4155
513	4384	4145
514	4392	4136
515	4399	4126
516	4408	4118
517	4415	4108
518	4423	4099
519	4431	4090
520	4439	4081
521	4447	4072
522	4455	4063
523	4463	4054
524	4471	4045
525	4478	4036
526	4488	4028
527	4495	4018
528	4504	4010
529	4512	4001
530	4522	3994
531	4530	3985
532	4539	3976
533	4548	3968
534	4558	3962
535	4569	3955
536	4579	3948
537	4591	3942
538	4603	3937
539	4614	3931
540	4625	3924
541	4636	3918
542	4646	3910
543	4659	3905
544	4671	3900
545	4683	3894
546	4694	3887
547	4705	3881
548	4714	3872
549	4723	3864
550	4733	3857
551	4742	3849
552	4751	3841
553	4760	3832
554	4770	3824
555	4779	3816
556	4789	3808
557	4798	3800
558	4807	3792
559	4815	3783
560	4824	3775
561	4834	3767
562	4843	3759
563	4852	3751
564	4862	3743
565	4870	3734
566	4880	3726
567	4889	3718
568	4899	3711
569	4908	3703
570	4917	3694
571	4925	3685
572	4932	3675
573	4940	3666
574	4949	3657
575	4957	3649
576	4965	3640
577	4976	3633
578	4986	3625
579	4996	3617
580	5005	3609
581	5013	3601
582	5023	3592
583	5031	3584
584	5039	3575
585	5049	3567
586	5058	3559
587	5067	3550
588	5077	3543
589	5087	3535
590	5101	3530
591	5112	3523
592	5122	3515
593	5132	3508
594	5142	3500
595	5151	3492
596	5161	3484
597	5171	3476
598	5180	3468
599	5190	3460
600	5201	3453
601	5212	3446
602	5225	3440
603	5237	3434
604	5248	3426
605	5261	3420
606	5274	3415
607	5286	3408
608	5298	3401
609	5313	3397
610	5328	3392
611	5341	3386
612	5353	3379
613	5364	3372
614	5377	3366
615	5390	3360
616	5403	3354
617	5414	3346
618	5426	3339
619	5436	3331
620	5444	3322
621	5456	3316
622	5469	3309
623	5479	3301
624	5491	3295
625	5507	3290
626	5520	3283
627	5531	3276
628	5541	3268
629	5551	3260
630	5560	3251
631	5569	3242
632	5579	3234
633	5587	3225
634	5599	3218
635	5609	3210
636	5619	3202
637	5630	3194
638	5639	3186
639	5649	3177
640	5660	3170
641	5668	3160
642	5678	3152
643	5690	3145
644	5700	3137
645	5709	3128
646	5720	3120
647	5729	3112
648	5738	3103
649	5747	3095
650	5756	3086
651	5765	3077
652	5773	3068
653	5781	3058
654	5789	3049
655	5797	3040
656	5805	3030
657	5813	3021
658	5821	3012
659	5829	3002
660	5838	2994
661	5845	2984
662	5854	2975
663	5862	2966
664	5870	2957
665	5878	2948
666	5886	2938
667	5894	2929
668	5904	2921
669	5912	2911
670	5920	2902
671	5928	2893
672	5936	2884
673	5945	2875
674	5953	2866
675	5962	2857
676	5971	2848
677	5978	2839
678	5987	2830
679	5994	2820
680	6003	2812
681	6010	2802
682	6019	2793
683	6026	2784
684	6035	2775
685	6042	2765
686	6051	2757
687	6059	2747
688	6070	2740
689	6083	2733
690	6094	2725
691	6104	2717
692	6114	2708
693	6123	2699
694	6131	2690
695	6141	2682
696	6151	2674
697	6160	2665
698	6170	2656
699	6179	2648
700	6188	2639
701	6199	2631
702	6209	2623
703	6219	2614
704	6232	2607
705	6243	2600
706	6254	2592
707	6269	2585
708	6283	2579
709	6297	2572
710	6319	2568
711	6336	2562
712	6348	2555
713	6360	2547
714	6371	2539
715	6383	2532
716	6395	2524
717	6406	2516
718	6415	2507
719	6430	2500
720	6444	2493
721	6460	2487
722	6483	2483
723	6504	2479
724	6519	2472
725	6532	2465
726	6545	2457
727	6563	2452
728	6578	2445
729	6592	2438
730	6605	2430
731	6621	2424
732	6640	2418
733	6658	2413
734	6673	2406
735	6686	2398
736	6700	2390
737	6713	2383
738	6726	2375
739	6739	2368
740	6753	2360
741	6767	2353
742	6777	2344
743	6790	2336
744	6803	2328
745	6816	2320
746	6829	2313
747	6840	2304
748	6853	2296
749	6865	2288
750	6880	2281
751	6890	2272
752	6902	2264
753	6913	2255
754	6923	2246
755	6934	2238
756	6944	2229
757	6955	2220
758	6965	2211
759	6976	2203
760	6986	2194
761	6997	2185
762	7007	2176
763	7016	2167
764	7025	2158
765	7035	2149
766	7045	2140
767	7055	2131
768	7064	2122
769	7074	2113
770	7082	2103
771	7091	2094
772	7099	2084
773	7107	2075
774	7115	2065
775	7124	2056
776	7132	2047
777	7142	2037
778	7150	2028
779	7160	2019
780	7171	2010
781	7179	2001
782	7188	1992
783	7196	1982
784	7204	1973
785	7213	1963
786	7222	1954
787	7230	1945
788	7238	1935
789	7247	1926
790	7255	1917
791	7264	1907
792	7272	1898
793	7281	1889
794	7291	1880
795	7299	1870
796	7309	1861
797	7317	1852
798	7326	1843
799	7336	1834
800	7346	1825
801	7355	1816
802	7365	1807
803	7375	1797
804	7384	1788
805	7393	1779
806	7403	1770
807	7413	1761
808	7422	1752
809	7432	1743
810	7441	1734
811	7450	1725
812	7460	1715
813	7469	1706
814	7477	1697
815	7487	1688
816	7497	1679
817	7507	1670
818	7516	1661
819	7526	1652
820	7536	1643
821	7546	1634
822	7556	1625
823	7566	1616
824	7576	1607
825	7587	1598
826	7597	1589
827	7605	1579
828	7616	1571
829	7625	1561
830	7635	1552
831	7645	1543
832	7656	1534
833	7665	1525
834	7676	1516
835	7685	1507
836	7694	1498
837	7703	1489
838	7712	1480
839	7723	1471
840	7732	1461
841	7740	1452
842	7750	1443
843	7759	1434
844	7768	1425
845	7778	1415
846	7786	1406
847	7796	1397
848	7805	1388
849	7814	1379
850	7823	1369
851	7832	1360
852	7842	1351
853	7851	1342
854	7861	1333
855	7874	1324
856	7887	1316
857	7899	1307
858	7912	1298
859	7924	1289
860	7936	1281
861	7949	1272
862	7960	1263
863	7969	1254
864	7981	1245
865	7993	1236
866	8004	1227
867	8016	1219
868	8030	1210
869	8043	1201
870	8055	1192
871	8066	1184
872	8078	1175
873	8088	1166
874	8098	1156
875	8109	1147
876	8120	1138
877	8129	1129
878	8141	1120
879	8152	1111
880	8164	1102
881	8174	1093
882	8185	1084
883	8194	1075
884	8204	1066
885	8214	1056
886	8224	1047
887	8233	1038
888	8242	1029
889	8252	1019
890	8262	1010
891	8271	1001
892	8280	992
893	8289	982
894	8301	973
895	8312	964
896	8323	955
897	8337	947
898	8349	938
899	8360	928
900	8373	920
901	8388	911
902	8403	902
903	8416	893
904	8428	884
905	8440	875
906	8453	866
907	8466	857
908	8478	848
909	8490	839
910	8500	830
911	8512	821
912	8522	812
913	8533	802
914	8546	793
915	8559	784
916	8568	775
917	8579	766
918	8590	757
919	8599	747
920	8610	738
921	8618	729
922	8628	719
923	8637	710
924	8645	700
925	8653	691
926	8661	682
927	8669	672
928	8677	663
929	8685	653
930	8693	644
931	8701	634
932	8709	625
933	8718	616
934	8726	606
935	8735	597
936	8743	587
937	8752	578
938	8760	569
939	8768	559
940	8776	550
941	8785	540
942	8794	531
943	8803	522
944	8811	512
945	8819	503
946	8827	494
947	8836	484
948	8843	475
949	8851	465
950	8860	456
951	8869	447
952	8878	437
953	8889	428
954	8898	419
955	8908	409
956	8917	400
957	8925	391
958	8934	381
959	8943	372
960	8953	363
961	8962	354
962	8971	344
963	8979	335
964	8988	326
965	8999	316
966	9007	307
967	9018	298
968	9028	288
969	9040	279
970	9053	270
971	9066	261
972	9076	251
973	9087	242
974	9100	233
975	9110	224
976	9124	214
977	9137	205
978	9148	196
979	9160	186
980	9171	177
981	9184	168
982	9196	159
983	9207	149
984	9217	140
985	9228	131
986	9239	121
987	9251	112
988	9262	103
989	9273	93
990	9286	84
991	9299	74
992	9313	65
993	9327	56
994	9341	46
995	9353	37
996	9364	28
997	9377	18
998	9389	9
999	9401	0
